iter	Logloss
0	0.6810947343
1	0.6701394426
2	0.6602362203
3	0.6510213914
4	0.6423683228
5	0.6346944338
6	0.6274494045
7	0.6209468605
8	0.6148151801
9	0.609005472
10	0.6035525241
11	0.5986290401
12	0.5941717084
13	0.58974289
14	0.5857634261
15	0.5819728048
16	0.5783659577
17	0.5749307114
18	0.571761157
19	0.5688105623
20	0.5663087873
21	0.5636616147
22	0.5611436138
23	0.5588545311
24	0.5569476
25	0.5549669539
26	0.5527699916
27	0.5507513837
28	0.548702208
29	0.5472131372
30	0.5458774853
31	0.5444431093
32	0.5430206465
33	0.541609322
34	0.5401138007
35	0.5386975616
36	0.5372061741
37	0.5361149044
38	0.5347743106
39	0.533674282
40	0.5325716292
41	0.5316532187
42	0.5307644809
43	0.5297773095
44	0.5288732626
45	0.5279894655
46	0.5271766742
47	0.5262384727
48	0.5253671269
49	0.5244686025
50	0.5236452264
51	0.5226840773
52	0.521854126
53	0.521093767
54	0.520432767
55	0.5196724601
56	0.518861899
57	0.5180392775
58	0.5174102416
59	0.5167251341
60	0.5161518726
61	0.5153925337
62	0.5147747333
63	0.5139762009
64	0.5133190291
65	0.5128256539
66	0.5121848581
67	0.5115685448
68	0.5109920691
69	0.5104146858
70	0.5098849516
71	0.509332436
72	0.5086425856
73	0.5082019626
74	0.5076474175
75	0.5071365253
76	0.5067110415
77	0.5062496608
78	0.5056813102
79	0.5051784363
80	0.5047872144
81	0.504248802
82	0.5038280029
83	0.5033640738
84	0.5029748515
85	0.5024622345
86	0.5019514911
87	0.5015144683
88	0.5010068456
89	0.5004532871
90	0.5000094069
91	0.499582078
92	0.4991506385
93	0.4986836095
94	0.4983648563
95	0.49792635
96	0.4974368323
97	0.4970739005
98	0.4966965472
99	0.4962628976
100	0.4958424282
101	0.4954845356
102	0.4952303975
103	0.494869761
104	0.4945264072
105	0.4939882379
106	0.49349849
107	0.4931725024
108	0.4926659103
109	0.4922248123
110	0.4919015468
111	0.4914046687
112	0.4908900073
113	0.4905303915
114	0.4901655069
115	0.4898719598
116	0.4895989694
117	0.4892276793
118	0.4888591033
119	0.4884651085
120	0.4881810858
121	0.4878903576
122	0.4875815798
123	0.487314008
124	0.4870874343
125	0.4867888398
126	0.4864649261
127	0.4860557634
128	0.4857554932
129	0.4855067092
130	0.4852542482
131	0.4850424873
132	0.4847411641
133	0.4842418092
134	0.4839250804
135	0.4836298182
136	0.483391078
137	0.4831967111
138	0.4827298522
139	0.4825169496
140	0.4822513201
141	0.4819889514
142	0.4817269107
143	0.4815083402
144	0.4812305647
145	0.4809663358
146	0.4806938155
147	0.4804889361
148	0.4802574544
149	0.4799717183
150	0.4797248428
151	0.4794690146
152	0.4793203604
153	0.4790332515
154	0.4788675953
155	0.4785211601
156	0.4783009412
157	0.4780902417
158	0.4778915554
159	0.4776855956
160	0.4774473472
161	0.4771517332
162	0.4768979766
163	0.4766793571
164	0.4764221065
165	0.4761120148
166	0.4758611921
167	0.4756090193
168	0.4754557612
169	0.4753081157
170	0.4749688849
171	0.474677688
172	0.4744923609
173	0.4743070709
174	0.4740840474
175	0.4739147945
176	0.4737251843
177	0.4735389461
178	0.4732818404
179	0.4731797298
180	0.4730270801
181	0.4728552252
182	0.4726838451
183	0.4725360519
184	0.47235716
185	0.4721755073
186	0.4719598773
187	0.4717043881
188	0.4714390099
189	0.4712133814
190	0.470936177
191	0.4707791353
192	0.4704978234
193	0.4702558229
194	0.4701086568
195	0.4699486212
196	0.4698060919
197	0.4696800735
198	0.4695120718
199	0.4692797622
200	0.4691723315
201	0.4690462072
202	0.4689194309
203	0.4688044896
204	0.4686139634
205	0.4684300135
206	0.4682428124
207	0.467998059
208	0.4677486294
209	0.4675322556
210	0.4673387966
211	0.4671844894
212	0.4670665353
213	0.4668766932
214	0.4667414658
215	0.4666026563
216	0.466369217
217	0.4661939402
218	0.4660538343
219	0.4658470312
220	0.4656992314
221	0.4655303097
222	0.4653926692
223	0.4651851942
224	0.4650178643
225	0.4648466855
226	0.4647119773
227	0.4645391381
228	0.4643806828
229	0.4641653585
230	0.4639937208
231	0.4638862489
232	0.4638006017
233	0.4636348137
234	0.4635024542
235	0.4634027721
236	0.4632050409
237	0.4630489306
238	0.46293242
239	0.4627031313
240	0.4624725952
241	0.4623131263
242	0.4621616372
243	0.4620695385
244	0.4618845226
245	0.4617547517
246	0.4615458313
247	0.4613129434
248	0.4611885124
249	0.4610718754
250	0.4609081373
251	0.460687968
252	0.4605696519
253	0.4603768731
254	0.4602485417
255	0.4601212327
256	0.4600535671
257	0.4599119729
258	0.4598109858
259	0.4595794947
260	0.4594518292
261	0.4593348351
262	0.4591712517
263	0.459035813
264	0.4588414768
265	0.4587610434
266	0.4586105731
267	0.4584974579
268	0.4582659534
269	0.4581073725
270	0.4579600182
271	0.4578150778
272	0.4576839749
273	0.457584917
274	0.4574468508
275	0.4573303763
276	0.4572027015
277	0.4571357287
278	0.4569913976
279	0.4568737773
280	0.4567676199
281	0.4566406345
282	0.4565697995
283	0.4564393083
284	0.4563874317
285	0.4562597735
286	0.4562040677
287	0.4560837795
288	0.4559795843
289	0.4558795457
290	0.4557719699
291	0.4555967653
292	0.4553597977
293	0.4552476734
294	0.4550761731
295	0.4548626439
296	0.4547041262
297	0.4545519526
298	0.4544380847
299	0.4543258722
300	0.4542364646
301	0.4541294598
302	0.4540738456
303	0.4539381222
304	0.4538608004
305	0.4537665867
306	0.4536644147
307	0.4535877967
308	0.4534946423
309	0.4533386815
310	0.4532433887
311	0.4530694696
312	0.4529631612
313	0.4528668771
314	0.4528198491
315	0.4527204906
316	0.4525650045
317	0.4524500324
318	0.4522344744
319	0.4521079858
320	0.4519708252
321	0.4518712874
322	0.4517447129
323	0.4516382573
324	0.4515024231
325	0.4514202078
326	0.451265862
327	0.4510971483
328	0.4509632387
329	0.4508080501
330	0.4507544543
331	0.4506948727
332	0.450612569
333	0.4504755405
334	0.4503375181
335	0.4502215496
336	0.4501396032
337	0.4499750293
338	0.449907054
339	0.4497899845
340	0.4496617816
341	0.4495608746
342	0.449440278
343	0.4492912062
344	0.4492093061
345	0.4490758868
346	0.4489772402
347	0.4488677449
348	0.4487091087
349	0.4485705803
350	0.4484782917
351	0.4484087924
352	0.4482986558
353	0.4482143584
354	0.4481330805
355	0.4480508665
356	0.4479664893
357	0.4478721701
358	0.4478129314
359	0.4477120338
360	0.4475689841
361	0.4474424795
362	0.4473214407
363	0.4472166431
364	0.4470903903
365	0.4469806018
366	0.4468480219
367	0.4467991232
368	0.4467230067
369	0.446558917
370	0.4464573565
371	0.4463966647
372	0.4463277195
373	0.4462320734
374	0.446144947
375	0.4460296879
376	0.4459178066
377	0.4458106622
378	0.4456846672
379	0.4455752315
380	0.4454930467
381	0.4454187842
382	0.4453033471
383	0.4452156426
384	0.4450719829
385	0.4449572145
386	0.4448578195
387	0.4447887043
388	0.4446917996
389	0.4445871491
390	0.4444791857
391	0.4444166649
392	0.4443257254
393	0.4442261124
394	0.4440946368
395	0.4439930386
396	0.4439142666
397	0.4438107858
398	0.443759761
399	0.4436701272
400	0.4435483802
401	0.443494719
402	0.4434142657
403	0.443327729
404	0.4431873427
405	0.4431009043
406	0.4430328333
407	0.4428997252
408	0.4428546663
409	0.4427737454
410	0.4427148198
411	0.4425827955
412	0.4425015204
413	0.4424055696
414	0.4423531032
415	0.4422473486
